id,キャンセル,名前,プロフィール/Your Profile,タイトル,トークの概要/Talk abstract,audience_level,発表資料の言語/Language of presentation materials,発表で使用する言語/Presentation language,発表日,時間,部屋,階数
22,0,David Low,"Cofounder at Pand.ai, a start-up that specialises in building ML and NLP solutions","Interpretable Machine Learning, making black box models explainable with Python!",Ever wonder how a Machine Learning model makes predictions? I’ll be showing how to demystify black-box ML models with Python.,Beginner,English Only,英語/English,2日目,15:45 - 16:15,C会議室,6F
23,0,driller,Python x 金融のコミュニティ「fin-py」を主催。共著に「PythonユーザのためのJupyter［実践］入門」,Jupyterで広がるPythonの可能性,Jupyter Notebookを使いこなしていますか？便利そうな機能は色々ありそうだけど、なんとなく使っている…なんてもったいない。Jupyterの便利な機能、データ分析だけではないさまざまな使い方を紹介します。,All,日本語のみ/Japanese Only,日本語/Japanese,1日目,15:45 - 16:15,コンベンションホール,4F
24,0,澁谷 典明/Yoshiaki Shibutani,"JVM界隈を主戦場にしています。 Pythonほぼ初心者。
現在PythonのJVM処理系、cafebabepyの実装のためにPythonの構文、仕様について理解すべく奮闘中。 ",JVM上で動くPython3処理系cafebabepyの実装詳解,cafebabepyというJVM上で動くPython3処理系を実装しています。 本セッションではPython3の言語仕様に悪戦苦闘し、どのように実装していったのかをお話します。,Intermediate,日本語のみ/Japanese Only,日本語/Japanese,2日目,13:30 - 14:15,A+B会議室,1F
25,0,片寄 里菜 / Lina Katayose,空を飛ぶことに憧れ、航空宇宙学を専攻。将来は自分の作った航空機で空を飛びたいと思っている。(株)moegi代表,Make a Drone using RaspberryPi and Google VoiceKit by Python,I introduce the technique that I made a Drone using RaspberryPi and Google VoiceKit by Python code.,All,日本語と英語/Japanese and English,日本語/Japanese,2日目,14:30 - 15:00,小展示ホール,2F
26,0,増田泰,株式会社MonotaRO データマーケティング部門所属。Python2.0時代からPythonを使い始める。Python関連のドキュメント翻訳多数。PyCon JP発起メンバー。,Migrating from Py2 application to Py3: first trial in MonotaRO / Python2 から Python3 への移植: MonotaRO での取り組み,MonotaRO は 2000 年代初頭から、ECサイトと基幹系をほとんどPythonで内製してきました。この講演では、 Python 2 系の開発終了を前に、社内で進めているPython 3 への移行の最初の取り組みをお話します。,All,日本語と英語/Japanese and English,日本語/Japanese,2日目,11:15 - 12:00,小展示ホール,2F
27,0,大元 司,2015年に株式会社ドワンゴに入社。機械学習を利用する研究・サービス開発に従事する。,niconicoにおけるコンテンツレコメンドの取り組み,niconicoサービス内で運用されているレコメンダーの多くはPythonで開発されていますniconicoサービス内でのレコメンダー開発と運用経験から得られた知見をご紹介します。,All,日本語と英語/Japanese and English,日本語/Japanese,2日目,11:15 - 12:00,コンベンションホール,4F
28,0,横石和貴,NECソリューションイノベータ株式会社にて分析プラットフォームの開発に従事。最近はフロントエンドとバックエンドの開発を担当。,Notebook as Web API: Turn your notebook into Web API,データサイエンスにおいて予測モデルを活用するためにアプリケーションをつくるにはいくつかの課題があります。Jupyter Notebookを活用してそれらの課題をどのように解決するかお話します。,Beginner,日本語のみ/Japanese Only,日本語/Japanese,2日目,14:30 - 15:00,D会議室,6F
29,1,sandeep saurabh,"Project Manager(A.I. Labs) ,BRIDGEi2i Analytics Solutions,Bangalore",Probabilistic Programming and Bayesian Deep Learning (comparing Edward and ZhuSuan python libraries),"Bayesian deep learning ,benefits of probabilistic programming and deep learning to generate scalable model for uncertainity estimates

",All,English Only,英語/English,1日目,14:30 - 15:15,D会議室,6F
30,0,Daisuke Saito,早稲田大学基幹理工学部情報理工学科 講師（任期付き）。2018年3月早稲田大学博士後期課程修了。博士（工学）。 ソフトウェア工学、工学教育などの研究に従事。,PyCon JP における子ども向けワークショップの活動事例と実施の意義,PyCon JP では2015年より子どもを対象としたPythonのワークショップを企画し開催してきた。本トークでは2015年から実施してきたワークショップの内容および結果について報告する。また、世界のPyConで実施されている、子ども向けワークショップとPyCon JPの活動との違いを比較する。,All,日本語と英語/Japanese and English,日本語/Japanese,1日目,13:30 - 14:15,D会議室,6F
31,0,Pavlos Christoforou,Pavlos Christoforou currently serves as the CEO of Point Nine.,"Python, AWS and FinTech","This is a talk on how Point Nine, has leveraged Python to enter into a complex fin tech space processing millions of trades per day at a global scale",All,English Only,英語/English,2日目,16:30 - 17:00,C会議室,6F
32,0,西谷圭介,アマゾン ウェブ サービス ジャパン株式会社所属。アプリ開発者向けにコンテナ/DevOps/サーバーレスといった技術領域におけるエンゲージメントや技術支援までをリードしています。,Pythonistaに贈るコンテナ入門,マイクロサービスやCI/CDの実現を目的として検討されることが多いコンテナ技術ですが、本セッションではコンテナを使ったことがない方、またはほとんど知らない方向けに、コンテナそのものの概要に加え、アプリケーション開発者がコンテナを活用することによるメリットや実際の利用についてデモを交えてご紹介します。,Beginner,日本語のみ/Japanese Only,日本語/Japanese,2日目,13:30 - 14:15,D会議室,6F
33,0,Shinichi NAKAGAWA（野球エンジニア）,"株式会社ネクストベース野球エンジニア兼CTO。
Pythonもくもく自習室（#rettypy）オーガナイザー。
野球とPythonを生業とする「野球の研究者」。",Pythonistaの選球眼（せんきゅうがん） - エンジニアリングと野球の目利きになる技術,"PythonのWebアプリ・データ分析における、

「ライブラリ・フレームワーク選択の勘どころ」
「手段を選択するための「目利き」力を磨く」

の実践例および、

「野球におけるボールの選び方と飛ばし方」

を「選球眼（せんきゅうがん）」というテーマで紹介します。",Intermediate,日本語のみ/Japanese Only,日本語/Japanese,1日目,16:30 - 17:00,A+B会議室,1F
34,0,小栗　潤一,広島在住。将棋、パズル、ゲームが好きでとにかく頭を使うことが好き。今興味があることはPythonと機械学習。,Pythonで「お絵描きパズル」を解いてみた。,Python初心者が誰でも書ける簡単なPythonコードを使ってお絵描きパズルに挑みます。解き方に沿ってPythonコードの解説・Jupyter上で難問を解く過程、経過を表示するデモをお見せします。,Beginner,日本語のみ/Japanese Only,日本語/Japanese,2日目,16:30 - 17:00,コンベンションホール 鶯,4F
35,0,tell-k,情弱プログラマー,Pythonでざっくり学ぶUnixプロセス,Unixプロセスの基礎的な部分をPythonを通して紹介します。 多くのプログラマが経験するであろうUnix系のシステムで どのようにプログラムが動いてるかを簡単なPythonコードで 交えながら、初心者の方でもわかるようにお話します。,Beginner,日本語のみ/Japanese Only,日本語/Japanese,2日目,14:30 - 15:00,コンベンションホール 鶯,4F
36,0,新井 正貴,株式会社SQUEEZE所属。CodeZineにて『モダンDjango入門』の連載や、「Pythonもくもく会」を主催。,Pythonで解く大学入試数学,このトークでは、sympy・numpy・scipyなどPythonを通して数学にふれる楽しさを紹介します。数学のレベルとしては、高校数学や大学入試問題を題材として基礎的なものを扱う予定です。,All,日本語のみ/Japanese Only,日本語/Japanese,1日目,16:30 - 17:00,コンベンションホール,4F
37,0,田中 慎太郎,長野市の会社員です。普段はWebの仕事をしていて、Python/Djangoを用いたバックエンドの構築からフロントエンド開発まで手がけます。,Pythonで始めるウェブスクレイピング実践入門,Pythonがスクレイピングの用途に使われるようになって久しいですが、まだまだスクレイピングのためのライブラリは進化を遂げています。 近年リリースされたライブラリや、その使い方、比較、実践的なテクニックなどを紹介します。,All,日本語のみ/Japanese Only,日本語/Japanese,2日目,16:30 - 17:00,コンベンションホール 梅,4F
38,0,Tatsuya Kobayashi,小林達也（@kobanyn）、（株）日本システム技研、Webエンジニア。IoTに興味があり、いろんなガジェットを試して日々奮闘中。,Pythonで時系列のデータを分析してみよう。,"IoTが盛り上がる中、初心者の方には、データを取得してからそのデータをどうするのか 悩まれている人が多いと思います。
その取得したデータを解析するpandas、jupyter、matplotlib、StatsModelsを紹介し、生データを可視化します。",Beginner,日本語のみ/Japanese Only,日本語/Japanese,1日目,15:45 - 16:15,A+B会議室,1F
39,0,大山匠,株式会社ARISE analytics データサイエンティスト,Pythonによる異常検知入門,統計的手法から、機械学習やDeep Learningを用いた様々な異常検知アルゴリズムの概要、それらのPythonでの利用方法、また実際のアプリケーションに組み込む場合のTIPSなどをご紹介します。,Intermediate,日本語のみ/Japanese Only,日本語/Japanese,2日目,15:45 - 16:15,特別会議室,3F
40,0,北神雄太,ハードウェアとPythonを組み合わせた提案を行い続け、IoTもチョットデキル人。Intel Edisonの本も書いたPythonとLinuxとオープンソース文化が好き。,Pythonを使ったハードウェア開発について,"

RaspberryPiやIoTで必要となるハードウェア開発技術、当日は温湿度センサーや気圧、K型熱電対等、実際に科学の実験を行いながらPythonとの関わりを説明していきます。",All,日本語のみ/Japanese Only,日本語/Japanese,1日目,14:30 - 15:15,C会議室,6F
41,0,Yusuke Nishio,"株式会社ブレインパッド、Webアプリケーションエンジニア。
プライベートDMP開発を経て、広告入稿ツールの開発に従事。",Python研修の作り方-Teaching Is Learning-,"私が所属する株式会社ブレインパッドでは新卒研修の一環としてPython研修を実施しています。
講師の立場としてどのように準備したのか、どんな学びがあったのかを中心にお話させて頂きます。",All,日本語のみ/Japanese Only,日本語/Japanese,2日目,15:45 - 16:15,コンベンションホール 鶯,4F
42,0,Tsukagoshi Keisuke,AWS Mobile Specialist Solution Architect,REST API に疲れたあなたへ贈る GraphQL 入門,「 GraphQL vs REST 」など、Rest APIの次のパラダイムとして注目されている GraphQL 。本セッションは GraphQL の入門セッションという立ち位置で、 GraphQL とはなんなのかという説明や GraphQL を使い始める方法を解説します。,Beginner,日本語のみ/Japanese Only,日本語/Japanese,2日目,13:30 - 14:15,C会議室,6F
43,0,Hideo Hattori,"Software Engineer at Tech Bureau, Corp.",Rust と Python,速度や安全性、並行性等で注目を集めているプログラミング言語RustとPythonを組み合わせて、Python拡張モジュールを書く方法を紹介します。,Intermediate,日本語と英語/Japanese and English,日本語/Japanese,1日目,16:30 - 17:00,特別会議室,3F
44,0,Takeshi KOMIYA,Time Intermedia所属。Sphinx-Users.jpの運営のひとり。Sphinxやblockdiagの開発を行うOSS開発者。,Sphinx-2.0 とドキュメントの未来,SphinxはPythonの公式リファレンス用のツールとして生まれました。最初のリリースから10年が経過したいま、Sphinxは2.0のリリースに向けて開発が進められています。このトークでは、来年にリリースされるSphinx2.0ではどこが変わり、何ができるようになるのかを紹介します。,All,日本語と英語/Japanese and English,日本語/Japanese,2日目,13:30 - 14:15,小展示ホール,2F
