iter	RMSE	MAE
132	3.288556826	2.19589119
133	3.266465268	2.187563316
134	3.245020102	2.179685719
135	3.233927819	2.174036236
136	3.215073046	2.167149213
137	3.195782961	2.160773452
138	3.188283921	2.156255296
139	3.179540156	2.152768029
140	3.158905435	2.145492505
141	3.146856918	2.139953469
142	3.128707767	2.133787605
143	3.107993017	2.125488974
144	3.086896394	2.115513491
145	3.077598456	2.110540805
146	3.056719771	2.100049836
147	3.050782872	2.097251832
148	3.044032817	2.093272752
149	3.038846421	2.090603599
150	3.025300691	2.082971535
151	3.008266034	2.077228738
152	2.997633092	2.07385717
153	2.992850738	2.070390832
154	2.986534559	2.06762109
155	2.978624947	2.066294667
156	2.956994551	2.058144992
157	2.948559308	2.053209442
158	2.940909791	2.050251289
159	2.935413346	2.04722134
160	2.922552177	2.043061032
161	2.918178394	2.042146932
162	2.913177568	2.039051178
163	2.908078531	2.036841292
164	2.903837763	2.033923745
165	2.894469796	2.03065008
166	2.882993114	2.02646025
167	2.872125177	2.022028481
168	2.868623296	2.020669537
169	2.857639387	2.016818408
170	2.852139252	2.013705171
171	2.838262145	2.008647966
172	2.833174615	2.005607583
173	2.831370646	2.004799142
174	2.826856697	2.001853175
175	2.814201643	1.997837803
176	2.809498319	1.995663311
177	2.806525248	1.99451376
178	2.794125112	1.990562321
179	2.790680023	1.988437968
180	2.788816422	1.987804287
181	2.787713517	1.987426206
182	2.785178644	1.985679384
183	2.782854544	1.984157346
184	2.776220127	1.980561628
185	2.764982463	1.976604534
186	2.761918907	1.974940608
187	2.759857044	1.974016783
188	2.755889768	1.972262311
189	2.75038256	1.970271796
190	2.74328242	1.966976619
191	2.741733455	1.966449871
192	2.73267922	1.963250089
193	2.729199614	1.961059887
194	2.727391163	1.960116853
195	2.714536892	1.954552697
196	2.709465917	1.951328511
197	2.702962616	1.94831183
198	2.699050612	1.94596815
199	2.697579338	1.945415574
200	2.694832607	1.943805429
201	2.684394868	1.939528194
202	2.673022771	1.933239747
203	2.67000667	1.931854775
204	2.659755354	1.927154068
205	2.658211217	1.925890677
206	2.654925113	1.924200069
207	2.653711825	1.923499917
208	2.642294874	1.9184228
209	2.638691099	1.916120981
210	2.63214695	1.913965542
211	2.624375274	1.910697293
212	2.61684012	1.907362937
213	2.615450891	1.906484207
214	2.612589214	1.905845268
215	2.603839919	1.902514249
216	2.596372505	1.899651007
217	2.592375194	1.898281741
218	2.588220958	1.897227795
219	2.585201904	1.896624428
220	2.581788393	1.895192912
221	2.570987984	1.889435003
222	2.56272699	1.88583382
223	2.558627538	1.882532739
224	2.553363457	1.881079378
225	2.550272784	1.880465751
226	2.548328386	1.878615709
227	2.546193024	1.878235035
228	2.543225551	1.877429042
229	2.541163583	1.875946717
230	2.537697968	1.875012636
231	2.534124491	1.874056074
232	2.531637687	1.872926612
233	2.531241921	1.87279097
234	2.529222958	1.8718041
235	2.523977752	1.869272432
236	2.523011474	1.868656717
237	2.519687758	1.86711493
238	2.518210677	1.866956037
239	2.514869331	1.866074752
240	2.514307342	1.865731045
241	2.512837448	1.864763837
242	2.507785604	1.861931572
243	2.500487414	1.858508636
244	2.500063529	1.858094552
245	2.492297368	1.854710298
246	2.492035414	1.854633288
247	2.490322971	1.854599806
248	2.488686921	1.854103077
249	2.48647685	1.853867476
250	2.482805508	1.851754373
251	2.482456283	1.851654897
252	2.48123006	1.851691357
253	2.479113329	1.851080424
254	2.477251712	1.850663044
255	2.473821518	1.849423246
256	2.472421085	1.849488803
257	2.468052908	1.848064788
258	2.462347055	1.845410916
259	2.461133892	1.845176083
260	2.460989579	1.845212845
261	2.460409407	1.84498766
262	2.458866416	1.84461642
263	2.456769853	1.843438673
264	2.45621461	1.843283512
265	2.455367854	1.842826258
266	2.454459361	1.842999566
267	2.453832201	1.842569751
268	2.452931589	1.842039313
269	2.45207175	1.841387761
270	2.450158762	1.840622423
271	2.44890819	1.840627858
272	2.445875026	1.839492285
273	2.445448112	1.839297528
274	2.444126835	1.839010519
275	2.443134682	1.83907873
276	2.442867372	1.838899741
277	2.442641662	1.839019669
278	2.439378425	1.837532531
279	2.435262385	1.835171344
280	2.432826177	1.834285482
281	2.431494512	1.833830749
282	2.429275494	1.832986562
283	2.426151879	1.831574475
284	2.426039775	1.831541081
285	2.423119785	1.830305765
286	2.423013414	1.830241194
287	2.422614279	1.829988089
288	2.421944842	1.830042326
289	2.419383108	1.828858736
290	2.41883272	1.828905528
291	2.418720807	1.828851526
292	2.41859605	1.828725458
293	2.416211498	1.827807477
294	2.415749598	1.827571628
295	2.413734577	1.826860161
296	2.413208926	1.826512595
297	2.4129896	1.8263336
298	2.412889312	1.826290184
299	2.410560894	1.825266774
300	2.406454185	1.822989331
301	2.404477013	1.822050455
302	2.404318186	1.821925251
303	2.404186202	1.821780641
304	2.402831832	1.820472728
305	2.400641801	1.819416511
306	2.400579189	1.819383076
307	2.399776137	1.81889794
308	2.397310895	1.817566196
309	2.39525268	1.816758261
310	2.393591066	1.816521131
311	2.393113648	1.816145448
312	2.388576342	1.812462375
313	2.386665242	1.811374133
314	2.383773856	1.810212617
315	2.381728196	1.809412315
316	2.381494307	1.809229759
317	2.381438608	1.809199477
318	2.38135027	1.809155049
319	2.381092658	1.809066633
320	2.381088078	1.809066637
321	2.379592144	1.808313869
322	2.378967927	1.807825032
323	2.378061604	1.807270108
324	2.376552665	1.80703822
325	2.376287448	1.806832594
326	2.374679103	1.805869397
327	2.374435179	1.805795708
328	2.374259563	1.805669687
329	2.374113937	1.80565238
330	2.37242615	1.80503161
331	2.369763946	1.803798302
332	2.369708172	1.80389545
333	2.367405078	1.801466117
334	2.365716585	1.800920227
335	2.364860914	1.800296713
336	2.363226843	1.799762294
337	2.361921147	1.799540609
338	2.360270751	1.798906123
339	2.359040614	1.798690416
340	2.358933633	1.798503615
341	2.35773976	1.798294188
342	2.356581112	1.798088467
343	2.35654318	1.798054718
344	2.355418625	1.797852335
345	2.354213214	1.797459761
346	2.35245771	1.796798805
347	2.352418598	1.796766859
348	2.351390486	1.796577936
349	2.351294788	1.796524148
350	2.351273835	1.796520928
351	2.350275525	1.796331936
352	2.349005437	1.795822214
353	2.348911679	1.795766364
354	2.348250334	1.795217286
355	2.347946657	1.794946453
356	2.347374033	1.794535124
357	2.346424757	1.794372913
358	2.346422404	1.794389825
359	2.345700706	1.794000548
360	2.345037433	1.793548897
361	2.344354229	1.793087987
362	2.343034746	1.792624703
363	2.342159033	1.792449305
364	2.34130918	1.792275888
365	2.341307624	1.792280667
366	2.340439682	1.791983127
367	2.339502139	1.791668023
368	2.339382598	1.791494241
369	2.338607356	1.791330127
370	2.337855103	1.79116887
371	2.337125158	1.791010413
372	2.336139907	1.790701988
373	2.335181584	1.790266735
374	2.335101544	1.790214943
375	2.334936463	1.790081787
376	2.333911996	1.789704237
377	2.331559127	1.788392524
378	2.331388641	1.788222539
379	2.331384202	1.788206614
380	2.331352156	1.788176991
381	2.33102253	1.787869293
382	2.330859369	1.787730578
383	2.330734197	1.787591533
384	2.330100057	1.787442763
385	2.33001909	1.787404345
386	2.329403388	1.787254847
387	2.328806341	1.787110883
388	2.328447711	1.787030348
389	2.327871389	1.786888683
390	2.327312138	1.786748521
391	2.326769585	1.786611743
392	2.326243169	1.786477343
393	2.325640239	1.786170888
394	2.32562675	1.786175682
395	2.324828223	1.785716816
396	2.324334842	1.78558674
397	2.324326939	1.785577234
398	2.32384824	1.785449123
399	2.323383789	1.785323235
400	2.322920381	1.785221071
401	2.322838282	1.785140377
402	2.322399851	1.785017075
403	2.321645296	1.784441588
404	2.320969159	1.784008695
405	2.320947775	1.783968869
406	2.320546447	1.78385184
407	2.320055869	1.783565251
408	2.319678511	1.783456265
409	2.319312262	1.783351424
410	2.319065723	1.783184779
411	2.318402301	1.782821796
412	2.318044958	1.782717932
413	2.317968519	1.782661178
414	2.317621899	1.782556639
415	2.317285078	1.782450125
416	2.317274666	1.782431331
417	2.316769092	1.782144072
418	2.316442008	1.782042727
419	2.316124669	1.781943086
420	2.315386341	1.781357839
421	2.311889935	1.779305331
422	2.311588033	1.779206126
423	2.311261269	1.778997498
424	2.310819451	1.778617175
425	2.310543157	1.778519131
426	2.310242951	1.778311836
427	2.309983412	1.77822128
428	2.309626424	1.778013661
429	2.30938207	1.77792659
430	2.309369654	1.777944885
431	2.309354033	1.777935412
432	2.309342862	1.77795763
433	2.309107829	1.777872005
434	2.304131326	1.773830025
435	2.303353487	1.772912852
436	2.303344274	1.77292811
437	2.302756226	1.772643132
438	2.302538389	1.772556852
439	2.30245009	1.772499091
440	2.302443424	1.772517151
441	2.302206689	1.772339982
442	2.302201012	1.772356956
443	2.302195293	1.772373088
444	2.302187057	1.772376535
445	2.301010449	1.771303904
446	2.30078217	1.771126503
447	2.300777622	1.771144523
448	2.300762283	1.771151638
449	2.300329239	1.770771464
450	2.300115092	1.770598946
451	2.300036608	1.770417473
452	2.299627319	1.770047938
453	2.299445657	1.76996485
454	2.299442263	1.769978077
455	2.298386349	1.769259167
456	2.298010318	1.768904493
457	2.297846605	1.768832271
458	2.297687739	1.768762706
459	2.297222694	1.768345597
460	2.296017573	1.767387636
461	2.296015169	1.767399375
462	2.295864074	1.767330425
463	2.295717494	1.767262639
464	2.295574662	1.767193688
465	2.295245066	1.766861147
466	2.294346715	1.766221867
467	2.293819456	1.765478472
468	2.293686373	1.765413488
469	2.293556664	1.765345618
470	2.292093908	1.763814164
471	2.292005919	1.763762191
472	2.291877973	1.763697839
473	2.291876689	1.76370881
474	2.291790559	1.763657241
475	2.291648185	1.763517773
476	2.291621452	1.763411371
477	2.291499689	1.763350182
478	2.29138157	1.763290047
479	2.291296154	1.763240954
480	2.291295231	1.763250492
481	2.291180023	1.763189331
482	2.290391707	1.762607437
483	2.290391351	1.762612527
484	2.289651498	1.761894079
485	2.289651235	1.761898766
486	2.287794112	1.760403416
487	2.287793821	1.760407275
488	2.284122965	1.757425062
489	2.282933345	1.756589823
490	2.282828265	1.756530799
491	2.282726316	1.756473793
492	2.282715452	1.756473324
493	2.282693375	1.756449821
494	2.282594547	1.756392792
495	2.281146922	1.755410995
496	2.280428899	1.754713413
497	2.279434766	1.753786361
498	2.279433942	1.753782122
499	2.278018556	1.752823539
500	2.277996468	1.75280338
501	2.277370829	1.752327302
502	2.276428546	1.751136112
503	2.276428504	1.751135399
504	2.276402765	1.751100974
505	2.276332542	1.751048565
506	2.275213675	1.750306287
507	2.273674141	1.749491777
508	2.273583728	1.749433037
509	2.273417338	1.749260928
510	2.273379486	1.749225396
511	2.273354741	1.749130479
512	2.27335471	1.749129377
513	2.273331336	1.749035592
514	2.273330558	1.749030353
515	2.268569274	1.74500437
516	2.268547015	1.744913596
517	2.268461305	1.744852936
518	2.268461292	1.744851986
519	2.26846128	1.74485106
520	2.268461269	1.744850156
521	2.268461258	1.744849274
522	2.26599294	1.7427505
523	2.265911706	1.742695812
524	2.264965002	1.741948234
525	2.264885803	1.741887669
526	2.26481105	1.741834428
527	2.264746164	1.741783496
528	2.264323181	1.741462037
529	2.264234296	1.74137289
530	2.264160906	1.741320458
531	2.264160461	1.741316648
532	2.264098917	1.741265361
533	2.264098563	1.741261804
534	2.263727862	1.74103875
535	2.263655212	1.740985649
536	2.263584745	1.740934368
537	2.26358422	1.740930183
538	2.263515766	1.740878968
539	2.263440492	1.740771726
540	2.262507091	1.739929596
541	2.261978847	1.739456224
542	2.261967794	1.739447187
543	2.26190485	1.739398772
544	2.261844973	1.739348089
545	2.26077239	1.738532542
546	2.260771301	1.738526817
547	2.260750776	1.738498563
548	2.25997904	1.737844585
549	2.259596371	1.737541212
550	2.259534485	1.737492533
551	2.259015683	1.73705814
552	2.258903366	1.736940536
553	2.258838391	1.736842835
554	2.258808808	1.736806998
555	2.258745961	1.7367115
556	2.258717441	1.736676416
557	2.257365789	1.735679738
558	2.257354447	1.735670233
559	2.256546085	1.73493692
560	2.25649239	1.734892584
561	2.25644031	1.734849044
562	2.256389324	1.734804477
563	2.256368164	1.734719047
564	2.256312871	1.734630726
565	2.256264894	1.734589249
566	2.256252605	1.734582854
567	2.256213238	1.7345094
568	2.256212706	1.734506758
569	2.256210239	1.734499967
570	2.25616304	1.734458903
571	2.255641314	1.733905336
572	2.255615752	1.733873187
573	2.255571579	1.733833656
574	2.255481809	1.73373013
575	2.25543302	1.733660277
576	2.255392694	1.733622691
577	2.255019014	1.733262953
578	2.254994325	1.733231411
579	2.254970632	1.73321005
580	2.254842755	1.733138547
581	2.254362141	1.732727159
582	2.254321815	1.732685772
583	2.254237702	1.732582238
584	2.253843206	1.732139283
585	2.253800018	1.732059196
586	2.253758234	1.7319809
587	2.253717807	1.731904352
588	2.253682486	1.731867567
589	2.253648665	1.731832653
590	2.253508514	1.731708515
591	2.253397405	1.731631502
592	2.253365068	1.73159933
593	2.252999502	1.731247747
594	2.25243574	1.730454229
595	2.252087726	1.73012172
596	2.251067327	1.729395668
597	2.250823018	1.729266122
598	2.250790482	1.729232254
599	2.248040951	1.727213957
600	2.248017177	1.727196065
601	2.247986059	1.727163491
602	2.247963181	1.72714587
603	2.247933008	1.727113848
604	2.247810833	1.72703906
605	2.247781199	1.727007173
606	2.247371939	1.726646595
607	2.24736967	1.72663882
608	2.247340589	1.726604272
609	2.247308303	1.726534147
610	2.246756194	1.726154046
611	2.246755505	1.726152923
612	2.246453775	1.725901034
613	2.246422611	1.72583262
614	2.246396269	1.725804782
615	2.246366922	1.725738429
616	2.246260382	1.725677214
617	2.246231584	1.725611874
618	2.2462258	1.725568687
619	2.246198109	1.725505598
620	2.246171324	1.72544391
621	2.245272043	1.724577744
622	2.244204593	1.723256463
623	2.244177088	1.723231599
624	2.244150528	1.723207057
625	2.244148501	1.723199312
626	2.244123083	1.723169046
627	2.244031406	1.723116822
628	2.244028937	1.723087459
629	2.243790896	1.722875277
630	2.243788614	1.722846918
631	2.243784089	1.722809387
632	2.243783633	1.722805462
633	2.243781572	1.722778507
634	2.243779615	1.72275225
635	2.243133797	1.722379177
636	2.243031017	1.722313867
637	2.243006298	1.722281487
638	2.242982535	1.72225504
639	2.242959487	1.722229068
640	2.241258317	1.720831038
641	2.241234043	1.720772543
642	2.241172614	1.720684564
643	2.241149744	1.720627745
644	2.241120476	1.720602953
645	2.241118269	1.720574967
646	2.238901143	1.718599093
647	2.238879619	1.718566097
648	2.238877752	1.718540708
649	2.23844936	1.718264546
650	2.238434716	1.718227739
651	2.238434324	1.718223887
652	2.238031097	1.717957487
653	2.235388223	1.715985977
654	2.235383791	1.715954294
655	2.235353835	1.71592897
656	2.235323369	1.715909575
657	2.235303243	1.715882105
658	2.234813612	1.715471598
659	2.234812272	1.715476245
660	2.234810533	1.715451199
661	2.234789591	1.715420466
662	2.234770899	1.715396648
663	2.234741515	1.715371793
664	2.234722924	1.715348155
665	2.234694131	1.715323569
666	2.232738746	1.713594552
667	2.232720754	1.71356619
668	2.232703476	1.71354307
669	2.232701719	1.713519782
670	2.232685075	1.713494497
671	2.232655594	1.713470142
672	2.232638607	1.713444489
673	2.229759552	1.711115953
674	2.229736005	1.711094375
675	2.229707426	1.711070682
676	2.228468105	1.709818628
677	2.228466724	1.709801428
678	2.226988481	1.708290132
679	2.226987232	1.708273533
680	2.225388316	1.707008163
681	2.225358939	1.706983414
682	2.224650198	1.70649558
683	2.224649033	1.706479002
684	2.224603934	1.706389713
685	2.22457353	1.706372781
686	2.224572427	1.706356739
687	2.22452122	1.706274275
688	2.224479348	1.706188718
689	2.224462461	1.706158077
690	2.223437483	1.705391811
691	2.223410008	1.705368392
692	2.223408705	1.705352485
693	2.223382211	1.705329452
694	2.223277888	1.70514579
695	2.223275302	1.705123331
696	2.223275217	1.705122969
697	2.22325979	1.705098636
698	2.221336789	1.703364994
699	2.221101552	1.703134717
700	2.221100233	1.703117886
701	2.221073967	1.70309509
702	2.221071249	1.703093116
703	2.22103399	1.703012096
704	2.220598665	1.702657093
705	2.220591235	1.702628468
706	2.220566327	1.702605656
707	2.220558504	1.70257537
708	2.220514377	1.702499866
709	2.22049077	1.702477558
710	2.219461804	1.701345668
711	2.219437254	1.701329948
712	2.219421552	1.701305748
713	2.218123994	1.700235807
714	2.218108312	1.700211421
715	2.218108206	1.700211283
716	2.218091801	1.700182123
717	2.21807706	1.700158662
718	2.218062767	1.700135652
719	2.218061638	1.700121948
720	2.218037157	1.700106175
721	2.218015029	1.700084705
722	2.21799221	1.700069351
723	2.217971611	1.700048436
724	2.217951732	1.700027799
725	2.217932546	1.700007436
726	2.217915553	1.69997874
727	2.217876843	1.699909116
728	2.217858095	1.699889089
729	2.217548035	1.699720758
730	2.217510653	1.699652676
731	2.217495545	1.699629815
732	2.217495209	1.699625893
733	2.217477053	1.699606372
734	2.215868577	1.698288423
735	2.215847803	1.698281631
736	2.215829151	1.698269047
737	2.215812408	1.698249971
738	2.215796175	1.698222024
739	2.21472662	1.697114409
740	2.21472563	1.697100025
741	2.214690462	1.697032365
742	2.212326463	1.694934398
743	2.212308883	1.694921385
744	2.212140409	1.694770753
745	2.212125148	1.694752577
746	2.211923216	1.694538893
747	2.211906611	1.694512025
748	2.211891622	1.694494149
749	2.21187715	1.69447652
750	2.210365588	1.693190992
751	2.210364748	1.693181841
752	2.210348878	1.693160341
753	2.210342454	1.693156032
754	2.210307915	1.693091665
755	2.210293081	1.693073988
756	2.210278767	1.693056551
757	2.210264952	1.693039351
758	2.210249309	1.693015801
759	2.210235702	1.692998778
760	2.210233707	1.69299729
761	2.210217289	1.6929719
762	2.210203894	1.692955072
763	2.209757807	1.692613961
764	2.207350754	1.690676778
765	2.2073361	1.690655222
766	2.207321755	1.690638547
767	2.20732102	1.690633676
768	2.207307178	1.690617251
769	2.207242024	1.690551711
770	2.207210254	1.690490884
771	2.207209759	1.690483845
772	2.207195434	1.690462884
773	2.207194958	1.690456059
774	2.207181378	1.690440116
775	2.206599398	1.689836403
776	2.206583705	1.68983181
777	2.206569377	1.689804623
778	2.204522564	1.687881527
779	2.204521208	1.687885547
780	2.204520724	1.687881113
781	2.204009896	1.687617778
782	2.203996802	1.687597116
783	2.202427095	1.68623335
784	2.202416807	1.686225452
785	2.20238209	1.686148854
786	2.202185389	1.686018148
787	2.202184897	1.686013485
788	2.202174858	1.686005834
789	2.20217449	1.685999223
790	2.202132404	1.6859378
791	2.202016552	1.685913638
792	2.202004197	1.685891495
793	2.20199146	1.685867607
794	2.201991349	1.685868764
795	2.201803601	1.68571543
796	2.200375841	1.684633615
797	2.200365876	1.684625758
798	2.200353712	1.684605589
799	2.200267757	1.68440767
800	2.200257949	1.684399501
801	2.199830057	1.683949121
802	2.199829949	1.683949675
803	2.199829578	1.683945588
804	2.198511229	1.682974307
805	2.198510863	1.682973476
806	2.198497111	1.68295771
807	2.197820494	1.682504872
808	2.197820391	1.682505889
809	2.197808553	1.682486021
810	2.197808266	1.682483244
811	2.197383857	1.682161767
812	2.197382766	1.682156245
813	2.196756483	1.681605888
814	2.196756212	1.681603132
815	2.196273238	1.681239478
816	2.196273001	1.681237098
817	2.195912156	1.680965373
818	2.195901226	1.680957638
819	2.195890754	1.680950025
820	2.195524593	1.68060746
821	2.195283491	1.680550302
822	2.195272503	1.680531774
823	2.195168497	1.680424101
824	2.195158242	1.680416035
825	2.195148416	1.680408104
826	2.195148184	1.680405773
827	2.195119033	1.680398054
828	2.195109608	1.680390156
829	2.195098188	1.680371006
830	2.195077128	1.680336126
831	2.195066383	1.680317608
832	2.195066168	1.680315272
833	2.195035159	1.680248889
834	2.193400742	1.679333973
835	2.193370389	1.679320658
836	2.192116807	1.678231459
837	2.19023095	1.676133225
838	2.190034806	1.676054898
839	2.189884695	1.675991845
840	2.189874233	1.675990438
841	2.189819605	1.675962153
842	2.189285717	1.675832334
843	2.189274765	1.675811103
844	2.18926476	1.675809924
845	2.189101642	1.67554696
846	2.18908905	1.675542445
847	2.189077981	1.675521046
848	2.189067249	1.675500051
849	2.18905891	1.675493296
850	2.189048283	1.675472471
851	2.187390508	1.673914556
852	2.187382589	1.673907147
853	2.187257231	1.673701172
854	2.187246666	1.673680543
855	2.187041622	1.673580814
856	2.187032544	1.67357964
857	2.187016053	1.673542015
858	2.186883018	1.673427429
859	2.183851145	1.670605928
860	2.183850575	1.670598294
861	2.183595453	1.670537146
862	2.182717042	1.669839009
863	2.18271568	1.669829648
864	2.182707973	1.669822693
865	2.182706647	1.669813472
866	2.182679802	1.669782541
867	2.182670502	1.669762936
868	2.182428118	1.669537904
869	2.182377577	1.669504832
870	2.182368268	1.669485356
871	2.18172514	1.668818237
872	2.181716048	1.668799163
873	2.181708245	1.668792735
874	2.181707772	1.668786092
875	2.180888548	1.668334888
876	2.180879924	1.668316106
877	2.180742225	1.668187347
878	2.18073374	1.668168765
879	2.180724403	1.668168594
880	2.180715984	1.668150262
881	2.180708279	1.668143931
882	2.180698981	1.668148121
883	2.18038535	1.668010173
884	2.180378368	1.668004422
885	2.18036962	1.667986117
886	2.180362751	1.667980447
887	2.180354825	1.667980798
888	2.180345982	1.667962393
889	2.180213475	1.667908664
890	2.180106421	1.66779298
891	2.180099816	1.667791488
892	2.180093854	1.667786323
893	2.179869014	1.667510325
894	2.179795737	1.667450504
895	2.179789607	1.667449049
896	2.174296137	1.664171171
897	2.172906259	1.663090106
898	2.172905643	1.663081865
899	2.172896635	1.663061985
900	2.172635701	1.662877378
901	2.170830041	1.661192468
902	2.170820559	1.661185826
903	2.170811883	1.661166848
904	2.170689325	1.661088079
905	2.170680675	1.66106918
906	2.170672286	1.661050635
907	2.170671603	1.66104293
908	2.170334284	1.660746519
909	2.170326521	1.660729418
910	2.170318992	1.66071263
911	2.170312424	1.660708834
912	2.170104304	1.660574202
913	2.169574459	1.65997556
914	2.169398835	1.659820662
915	2.169390472	1.659824185
916	2.168807211	1.659213205
917	2.168806394	1.659209864
918	2.168144952	1.658522913
919	2.167490859	1.657833638
920	2.167483265	1.657815603
921	2.167474027	1.657819825
922	2.167466499	1.65780187
923	2.167457504	1.657805911
924	2.167448901	1.65780978
925	2.161072029	1.651945505
926	2.161065499	1.65192867
927	2.160314318	1.651346045
928	2.160304782	1.651350039
929	2.159966251	1.651088512
930	2.159965557	1.651080517
931	2.159965544	1.651080306
932	2.159344466	1.65032263
933	2.159335094	1.650326015
934	2.159334499	1.650318575
935	2.15932995	1.650322526
936	2.158996135	1.650035364
937	2.1589895	1.650019474
938	2.15849853	1.649425274
939	2.158493214	1.649409324
940	2.158492637	1.64940238
941	2.158486319	1.649386874
942	2.157135431	1.648369721
943	2.156140644	1.647500929
944	2.156094905	1.647464267
945	2.156082812	1.647467508
946	2.156078229	1.647472869
947	2.156072644	1.647456829
948	2.1560571	1.647457121
949	2.155349771	1.646986855
950	2.155337758	1.646988308
951	2.155179713	1.646900253
952	2.15503535	1.646763214
953	2.154378589	1.646164896
954	2.154373299	1.646151556
955	2.153293709	1.645498465
956	2.153082368	1.645291282
957	2.153070187	1.645292105
958	2.153064818	1.645278797
959	2.153024849	1.645234265
960	2.153024329	1.645227383
961	2.15298305	1.645194737
962	2.15160252	1.644062406
963	2.1515948	1.644036692
964	2.151594294	1.644029826
965	2.151581539	1.644032592
966	2.151538091	1.64399685
967	2.151538066	1.643996091
968	2.151526091	1.643996354
969	2.151516944	1.643989358
970	2.151505698	1.643992074
971	2.151505675	1.643991183
972	2.151500126	1.643976215
973	2.151491573	1.643969404
974	2.150394516	1.643083442
975	2.150385684	1.643078346
976	2.15038517	1.643078032
977	2.150348573	1.643052829
978	2.150348072	1.643052574
979	2.150337445	1.643057133
980	2.150327483	1.643058947
981	2.15031795	1.643061185
982	2.150308829	1.643063289
983	2.149904536	1.642759258
984	2.1484601	1.641746454
985	2.148047621	1.641217978
986	2.147566773	1.640838433
987	2.147255853	1.640632445
988	2.146995416	1.64048626
989	2.146948296	1.640440664
990	2.144944392	1.638944166
991	2.144865289	1.638883042
992	2.144859249	1.638866761
993	2.144561863	1.638550537
994	2.144553969	1.638524665
995	2.144548556	1.638509435
996	2.144408439	1.638425795
997	2.144400748	1.638400424
