date,persons,record_time,shownotes,title
Nov 07-2013,"['naoya', 'gosukenator', 'miyagawa']",48:04,"['Rebuild 14: DevOps with Docker', 'mizzy.org: インフラ系技術の流れ', 'Immutable Infrastructure and Disposable Components', 'Immutable Infrastructure について', 'Blue Green Deployment', 'Packer', 'Serf', 'Serf vs. Chef/Puppet', 'Automatic /etc/hosts management with Serf', 'Gossip protocol', 'Docker and the Timely Pivot', 'Food Fight: Immutable Infrastructure', 'Chaos Monkey', 'Docker 0.6.5: Link Containers']","25: Immutable Infrastructure (Naoya Ito, Gosuke Miyashita)"
Nov 28-2013,"['adamrocker', 'mootoh', 'miyagawa']",43:16,[],"26: Android 4.4 (adamrocker, mootoh)"
Dec 06-2013,"['naoya', 'miyagawa']",56:16,"['Germany 2013 - a set on Flickr', 'スマホ版「ドラゴンクエスト」が1日で100万DL達成！\u3000無料期間を延長', 'MBaaS で巨人の肩に乗る #awscasual // Speaker Deck', '2014年のウェブシステムアーキテクチャ', '今さら聞けないImmutable Infrastructure', 'Stop Worrying about Prodweb001 and Start Loving i-98fb9856 (ARC201)', 'Google Cloud Platform Blog: Google Compute Engine is now Generally Available with expanded OS support, transparent maintenance, and lower prices', 'AngularJS 20min #ng_jp // Speaker Deck', 'Backbone.js', 'backbone.stickit', 'Amazon Prime Air', ""Android founder Andy Rubin's secret Google project: building real robots | The Verge""]","27: Dragon Quest, Docker and AngularJS (Naoya Ito)"
Dec 28-2013,"['kenn', 'miyagawa']",53:39,[],28: Don't Look at the Badges (Kenn Ejima)
Jan 13-2014,"['naoya', 'miyagawa']",42:37,"['Eff Your Review', 'App Store ratings are broken, let’s get rid of them', 'nicklockwood/iRate', 'nicklockwood/iVersion', 'Apple Can\'t Ban ""Rate This App"" Dialogs', 'ntaku: 軽微なアプリのバグはすぐに直して申請したいと思いつつも...', 'Developers Seeing Influx Of Unexplained 1-Star Ratings', '重い鞄の斜めがけで椎間板ダメージ疑惑とバックパックのススメ', 'BOXEN', 'BrewfileでHomebrewパッケージを管理する', 'テスト考2014', 'Testing like the TSA by David of 37signals']",29: Rate My App (Naoya Ito)
Jan 31-2014,"['typester', 'miyagawa']",1:05:45,[],30: Rebuild My Identity (typester)
Feb 07-2014,"['naan', 'miyagawa']",54:20,[],31: Done with Twitter (naan)
Feb 15-2014,"['naoya', 'miyagawa']",54:14,"['Rebuild #29 でアプリのレビューをして欲しいと話したらたくさんレビューが来た', ""'Flappy Bird' creator breaks silence, says he pulled hit game because it was 'addictive'"", 'The Flappy Bird Fiasco', ""dongatory: I can call 'Flappy Bird' is a success of mine. But it also ruins my simple life."", 'Threes!', 'Creators Of ""Super Hexagon"" and ""Canabalt"" Build Fantastic Tributes To Flappy Bird', 'Flappy Jam - itch.io', ""PS Vita TV mini review - Tatsuhiko Miyagawa's blog"", ""Nintendo: It's Dangerous To Go Alone! Take This."", '強いチームはオフィスを捨てる: 37シグナルズが考える「働き方革命」', 'Manage multiple users on Chrome', 'Chrome Web Store - StayFocusd', 'naoya_ito: 僕がしたいのは情報共有というよりは感情の共有なんだなということが自分で話しててわかってきた', 'The Travis CI Blog: How We Manage Work in a Remote Team', 'LGTM.in/g', 'GitHub Team (How GitHub Works)', 'miyagawa/hubot-standup', '米国で導入が始まったテレプレゼンス・ロボット']",32: How We Work Remotely (Naoya Ito)
Feb 23-2014,"['hotchpotch', 'miyagawa']",49:23,"['坂本真綾 - ハチポチ', 'Rebuild.fmクライアント(非公式)をリリースしました', 'Podcast App Playback Speeds', 'iOS Human Interface Guidelines: Designing for iOS 7', 'Design | Android Developers', 'TestFlight Owner Burstly Acquired By Apple', 'Acqui-hiring', 'DeployGate Beta', 'Facebook is buying WhatsApp for $16 billion', 'WhatsApp: The inside story', 'WhatsAppの買収から考える今後のスマートフォンビジネスの動き', 'About the security content of iOS 7.0.6', ""Apple's SSL/TLS bug"", 'The WebKit Open Source Project - Writing New Tests']",33: There's No Test For goto fail (hotchpotch)
Mar 02-2014,"['naan', 'miyagawa']",1:12:30,"['パソコンサンデー', 'Happy ending: @N has been restored to its rightful owner', ""On the Timing of iOS's SSL Vulnerability and Apple's 'Addition' to the NSA's PRISM Program"", 'sslKeyExchange.c diff', 'Download iOS 6.1.6 for iPhone 3GS and iPod touch 4G', 'Transcripts: Rebuild', 'Rebuild ep33 Transcript', 'Introducing Atom - Atom Blog', 'Komodo Edit | Komodo IDE', 'Why is Atom closed source? - Atom Discussion', 'The right way to ask for a review.', 'Flinto - iPhone, iPad and Android Prototyping', 'LinkSnap: How Potato Chips Inspire Magical Software', 'From PNG to Prototype in 45 seconds', 'Flinto Now Supports Android', 'Add to Homescreen - Google Chrome Mobile']",34: Snappy Links (naan)
